,Unnamed: 0,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL,type_Public,combined_25_5,combined_50_10,combined_5_1,combined_10_2,combined_<5_1,prop_high_speed,CENSUS_ID,MEDIAN_INCOME,LOG_MEDIAN_INCOME
12,64,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,2019,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,72.2,0.7,98.8,3.3,8.0,1,0.033996474439687736,0.8705615713925964,0.00528834046839587,0.05439435910350038,0.002266431629312516,0.9045580458322842,5905014,55424,10.922767991922107
13,69,2019/2020,2222007,W L Seaton Secondary,22,Vernon,Public,2701 41 Ave,Vernon,Standard School                         ,SECONDARY,YES,YES,NO,NO,50.2729109,-119.2679834,2019,Vernon,Gr 12 enrolment: 165,0.8,9.2,45.8,71.9,4.6,98.6,20.5,6.8,1,0.01059001512859304,0.9844931921331316,0.0007564296520423601,0.0022692889561270802,0.00037821482602118004,0.9950832072617246,5937014,59353,10.991257946359317
14,74,2019/2020,2222017,Vernon Secondary,22,Vernon,Public,2100-15th St,Vernon,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.25761457,-119.2525325,2019,Vernon,Gr 12 enrolment: 194,0.5,8.4,0.0,69.1,6.1,95.0,11.2,5.9,1,0.007911392405063292,0.9920886075949367,0.0,0.0,0.0,1.0,5937014,59353,10.991257946359317
15,79,2019/2020,2222022,Kalamalka Secondary,22,Vernon,Public,7900 McClounie Rd,Vernon,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.22296705,-119.2488864,2019,Vernon,Gr 12 enrolment: 112,0.0,9.8,0.0,70.2,2.7,100.0,17.7,6.9,1,0.04021937842778794,0.9414990859232175,0.018281535648994516,0.0,0.0,0.9817184643510054,5937010,95921,11.471280215001514
16,84,2019/2020,2222025,Clarence Fulton Secondary,22,Vernon,Public,2301 Fulton Rd,Vernon,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.2493786,-119.3092733,2019,Vernon,Gr 12 enrolment: 137,0.0,11.9,0.0,66.2,6.4,97.2,14.0,6.2,1,0.09450633883980022,0.8432577794852094,0.016903572800614674,0.002689204763734153,0.0,0.9377641183250096,5937014,59353,10.991257946359317
17,89,2019/2020,2222027,Charles Bloom Elementary Secondary,22,Vernon,Public,PO Box 220,Lumby,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.24996886,-118.9641854,2019,Lumby,Gr 12 enrolment: 56,0.0,12.2,0.0,67.7,10.2,100.0,15.2,5.6,1,0.3351145038167939,0.40381679389312974,0.0366412213740458,0.0015267175572519084,0.0,0.7389312977099236,5937005,58453,10.975978291502674
18,94,2019/2020,2323044,Rutland Senior Secondary,23,Central Okanagan,Public,705 Rutland Rd N,Kelowna,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.8969396,-119.3837848,2019,Kelowna,Gr 12 enrolment: 390,2.6,12.7,0.1,66.3,9.0,97.4,6.8,6.1,1,0.025825825825825825,0.9459459459459459,0.016216216216216217,0.0006006006006006006,0.003303303303303303,0.9717717717717718,5935010,68627,11.136441322285153
19,99,2019/2020,2323051,Mount Boucherie Senior Secondary,23,Central Okanagan,Public,2751 Cameron Rd,West Kelowna,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.8582874,-119.5844001,2019,West Kelowna,Gr 12 enrolment: 416,0.5,12.5,0.0,67.9,8.5,98.2,3.7,6.8,1,0.008525149190110827,0.9867860187553282,0.0025575447570332483,0.0014919011082693947,0.0,0.9953111679454391,5935029,83942,11.337881363146503
20,104,2019/2020,2323059,Okanagan Mission Secondary,23,Central Okanagan,Public,4544 Gordon Dr,Kelowna,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.8185945,-119.4851097,2019,Kelowna,Gr 12 enrolment: 253,0.8,10.0,0.1,74.2,2.6,99.1,2.8,7.5,1,0.0030211480362537764,0.9963746223564954,0.0,0.0,0.0,0.9993957703927492,5935010,68627,11.136441322285153
21,109,2019/2020,2323076,Kelowna Secondary,23,Central Okanagan,Public,1079 Raymer Ave,Kelowna,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.8640577,-119.4783557,2019,Kelowna,Gr 12 enrolment: 551,1.3,8.3,21.3,69.5,4.2,98.9,0.8,7.0,1,0.005017921146953405,0.9949820788530466,0.0,0.0,0.0,1.0,5935010,68627,11.136441322285153
