SCHOOL_YEAR,DISTRICT_NUMBER,DISTRICT_NAME,BOARDOFFICE_PHYSICAL_ADDRESS,DISTRICT_CITY,DISTRICT_PROVINCE,DISTRICT_POSTAL_CODE,DISTRICT_PHONE_NUMBER,DISTRICT_WEBSITE,X,Y
2018/19,63,Saanich,2125 Keating Cross Rd,Saanichton,BC,V8M2A5,250 652-7300,http://www.sd63.bc.ca                                                                               ,-123.4121269,48.5641791
2018/19,64,Gulf Islands,112 Rainbow Rd,Salt Spring Island,BC,V8K2K3,250 537-5548,http://www.sd64.bc.ca                                                                               ,-123.5010094,48.8544831
2018/19,67,Okanagan Skaha,425 Jermyn Ave,Penticton,BC,V2A1Z4,250 770-7700,http://www.sd67.bc.ca                                                                               ,-119.5833265,49.4928328
2018/19,68,Nanaimo-Ladysmith,395 Wakesiah Ave,Nanaimo,BC,V9R3K6,250 754-5521,http://www.sd68.bc.ca                                                                               ,-123.9620771,49.16104077
2018/19,69,Qualicum,100 Jensen Ave East,Parksville,BC,V9P1A1,250 248-4241,http://www.sd69.bc.ca                                                                               ,-124.3118084,49.3178777
2018/19,70,Alberni,4690 Roger St,Port Alberni,BC,V9Y3Z4,250 723-3565,http://www.sd70.bc.ca                                                                               ,-124.802165,49.2538928
2018/19,71,Comox Valley,607 Cumberland Rd,Courtenay,BC,V9N7G5,250 334-5500,http://www.sd71.bc.ca                                                                               ,-125.0011887,49.6871494
2018/19,72,Campbell River,425 Pinecrest Rd,Campbell River,BC,V9W3P2,250 830-2300,http://www.sd72.bc.ca                                                                               ,-125.2437338,50.0034022
2018/19,73,Kamloops/Thompson,1383 Ninth Ave,Kamloops,BC,V2C3X7,250 374-0679,http://www.sd73.bc.ca                                                                               ,-120.3187753,50.6655997
2018/19,74,Gold Trail,400 Hollis Rd,Ashcroft,BC,V0K1A0,250 453-9151,http://www.sd74.bc.ca                                                                               ,-121.266347,50.7316163
2018/19,75,Mission,33046 Fourth Ave,Mission,BC,V2V1S5,604 826-6286,http://www.mpsd.ca                                                                                  ,-122.3084805,49.1369259
2018/19,78,Fraser-Cascade,650 Kawkawa Lake Rd,Hope,BC,V0X1L4,604 869-2411,http://www.sd78.bc.ca                                                                               ,-121.4292834,49.37765346
2018/19,79,Cowichan Valley,2557 Beverly St,Duncan,BC,V9L2X3,250 748-0321,http://www.sd79.bc.ca                                                                               ,-123.6974301,48.7859504
2018/19,81,Fort Nelson,5104 Airport Dr,Fort Nelson,BC,V0C1R0,250 774-2591,http://www.sd81.bc.ca/                                                                              ,-122.6981018,58.8065575
2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
2018/19,83,North Okanagan-Shuswap,341 Shuswap St SW,Salmon Arm,BC,V1E4H9,250 832-2157,http://www.sd83.bc.ca                                                                               ,-119.2860882,50.69785939
2018/19,84,Vancouver Island West,2 Highway 28,Gold River,BC,V0P1G0,250 283-2241,http://www.sd84.bc.ca                                                                               ,-126.0512108,49.78300499
2018/19,85,Vancouver Island North,6975 Rupert St,Port Hardy,BC,V0N2P0,250 949-6618,http://www.sd85.bc.ca                                                                               ,-127.4942432,50.7186714
2018/19,87,Stikine,5 Commercial Drive,Dease Lake,BC,V0C1L0,250 771-4440,http://www.sd87.bc.ca                                                                               ,-129.9873682,58.4334574
2018/19,91,Nechako Lakes,153 East Connaught St,Vanderhoof,BC,V0J3A0,250 567-2284,http://www.sd91.bc.ca                                                                               ,-124.0075833,54.01803356
2018/19,92,Nisga'a,4702 Huwilp,New Aiyansh,BC,V0J1A0,250 633-2228,http://www.nisgaa.bc.ca                                                                             ,-129.0794026,55.2046696
2018/19,93,Conseil scolaire francophone,100 13511 Commerce Pky,Richmond,BC,V6X2J8,604 214-2600,http://www.csf.bc.ca                                                                                ,-123.0725451,49.173452
