,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
10,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Public,2015,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,66.5,9.0,98.1,20.0,6.2
11,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Public,2016,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,67.6,8.9,100.0,20.7,5.8
12,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Public,2017,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,67.3,3.4,96.5,13.5,6.9
13,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Public,2018,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,70.9,4.4,100.0,11.6,7.8
14,2019/2020,505034,Fernie Secondary,5,Southeast Kootenay,Public,PO Box 370,Fernie,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,YES,NO,49.513593,-115.0531442,Public,2019,Fernie,Gr 12 enrolment: 61,2.7,10.2,28.5,67.9,4.7,100.0,5.9,5.2
15,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Public,2015,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,61.6,16.8,97.0,10.3,4.7
16,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Public,2016,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,66.0,9.1,97.4,0.7,6.7
17,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Public,2017,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,57.0,29.7,100.0,4.7,2.1
18,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Public,2018,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,,,,,
19,2019/2020,505035,Sparwood Secondary,5,Southeast Kootenay,Public,PO Box 67,Sparwood,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.7357264,-114.8915519,Public,2019,Sparwood,Gr 12 enrolment: 40,0.8,17.2,0.0,65.2,6.4,95.0,11.3,4.9
