,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
292,2019/2020,3636150,Tamanawis Secondary,36,Surrey,Public,12600 66 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12210518,-122.8715022,Public,2017,Surrey,Gr 12 enrolment: 304,9.9,8.2,0.0,66.9,8.2,95.2,10.8,6.3
293,2019/2020,3636150,Tamanawis Secondary,36,Surrey,Public,12600 66 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12210518,-122.8715022,Public,2018,Surrey,Gr 12 enrolment: 304,9.9,8.2,0.0,69.1,6.3,95.7,15.2,6.2
294,2019/2020,3636150,Tamanawis Secondary,36,Surrey,Public,12600 66 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12210518,-122.8715022,Public,2019,Surrey,Gr 12 enrolment: 304,9.9,8.2,0.0,66.7,9.2,95.7,11.3,5.3
295,2019/2020,3636156,Elgin Park Secondary,36,Surrey,Public,13484 24 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04485284,-122.8486418,Public,2015,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,73.5,6.9,97.0,5.1,7.2
296,2019/2020,3636156,Elgin Park Secondary,36,Surrey,Public,13484 24 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04485284,-122.8486418,Public,2016,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,73.6,6.6,98.3,3.8,7.5
297,2019/2020,3636156,Elgin Park Secondary,36,Surrey,Public,13484 24 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04485284,-122.8486418,Public,2017,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,70.2,10.7,98.8,4.2,7.1
298,2019/2020,3636156,Elgin Park Secondary,36,Surrey,Public,13484 24 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04485284,-122.8486418,Public,2018,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,70.3,8.5,96.6,4.4,6.5
299,2019/2020,3636156,Elgin Park Secondary,36,Surrey,Public,13484 24 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04485284,-122.8486418,Public,2019,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,71.0,6.9,98.7,5.8,6.7
300,2019/2020,3636164,Sullivan Heights Secondary,36,Surrey,Public,6248 144 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.11641756,-122.8217431,Public,2015,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,68.4,8.3,96.5,9.1,6.6
301,2019/2020,3636164,Sullivan Heights Secondary,36,Surrey,Public,6248 144 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.11641756,-122.8217431,Public,2016,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,67.3,12.1,95.9,11.4,5.9
302,2019/2020,3636164,Sullivan Heights Secondary,36,Surrey,Public,6248 144 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.11641756,-122.8217431,Public,2017,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,68.1,8.2,91.9,12.5,5.9
303,2019/2020,3636164,Sullivan Heights Secondary,36,Surrey,Public,6248 144 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.11641756,-122.8217431,Public,2018,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,70.3,4.2,95.6,12.0,6.5
304,2019/2020,3636164,Sullivan Heights Secondary,36,Surrey,Public,6248 144 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.11641756,-122.8217431,Public,2019,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,68.4,7.5,95.4,11.3,5.5
305,2019/2020,3636167,Fleetwood Park Secondary,36,Surrey,Public,7940 156 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.14779053,-122.7888756,Public,2015,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,71.0,7.9,96.8,8.4,7.0
306,2019/2020,3636167,Fleetwood Park Secondary,36,Surrey,Public,7940 156 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.14779053,-122.7888756,Public,2016,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,70.3,10.3,94.6,8.3,6.5
307,2019/2020,3636167,Fleetwood Park Secondary,36,Surrey,Public,7940 156 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.14779053,-122.7888756,Public,2017,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,69.6,7.0,94.6,10.2,6.8
308,2019/2020,3636167,Fleetwood Park Secondary,36,Surrey,Public,7940 156 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.14779053,-122.7888756,Public,2018,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,70.7,10.5,97.5,5.9,6.6
309,2019/2020,3636167,Fleetwood Park Secondary,36,Surrey,Public,7940 156 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.14779053,-122.7888756,Public,2019,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,70.3,5.2,96.8,8.9,7.0
310,2019/2020,3636175,Clayton Heights Secondary,36,Surrey,Public,7003 188 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12907463,-122.7032007,Public,2015,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,66.9,11.1,93.3,18.5,5.5
311,2019/2020,3636175,Clayton Heights Secondary,36,Surrey,Public,7003 188 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12907463,-122.7032007,Public,2016,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,66.2,11.8,91.4,12.5,5.4
312,2019/2020,3636175,Clayton Heights Secondary,36,Surrey,Public,7003 188 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12907463,-122.7032007,Public,2017,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,67.9,8.2,93.2,15.4,6.2
313,2019/2020,3636175,Clayton Heights Secondary,36,Surrey,Public,7003 188 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12907463,-122.7032007,Public,2018,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,68.1,11.3,94.9,12.9,5.5
314,2019/2020,3636175,Clayton Heights Secondary,36,Surrey,Public,7003 188 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12907463,-122.7032007,Public,2019,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,67.3,10.1,95.8,11.0,5.4
315,2019/2020,3636232,Panorama Ridge Secondary,36,Surrey,Public,13220 64 Ave,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.11814368,-122.8551692,Public,2015,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,67.7,9.7,95.1,9.7,5.9
316,2019/2020,3636232,Panorama Ridge Secondary,36,Surrey,Public,13220 64 Ave,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.11814368,-122.8551692,Public,2016,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,67.6,10.6,95.2,7.3,6.1
317,2019/2020,3636232,Panorama Ridge Secondary,36,Surrey,Public,13220 64 Ave,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.11814368,-122.8551692,Public,2017,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,68.1,5.5,95.7,10.6,6.6
318,2019/2020,3636232,Panorama Ridge Secondary,36,Surrey,Public,13220 64 Ave,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.11814368,-122.8551692,Public,2018,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,68.9,7.8,96.2,9.9,6.3
319,2019/2020,3636232,Panorama Ridge Secondary,36,Surrey,Public,13220 64 Ave,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.11814368,-122.8551692,Public,2019,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,68.2,8.1,97.2,6.7,6.1
320,2019/2020,3636246,Princess Margaret Secondary,36,Surrey,Public,12870 72 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.13179769,-122.8657613,Public,2015,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,69.5,8.3,96.4,13.8,6.9
321,2019/2020,3636246,Princess Margaret Secondary,36,Surrey,Public,12870 72 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.13179769,-122.8657613,Public,2016,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,66.6,11.6,98.3,11.0,6.2
322,2019/2020,3636246,Princess Margaret Secondary,36,Surrey,Public,12870 72 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.13179769,-122.8657613,Public,2017,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,65.8,9.4,99.1,12.4,6.3
323,2019/2020,3636246,Princess Margaret Secondary,36,Surrey,Public,12870 72 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.13179769,-122.8657613,Public,2018,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,65.5,12.3,95.0,16.9,5.1
324,2019/2020,3636246,Princess Margaret Secondary,36,Surrey,Public,12870 72 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.13179769,-122.8657613,Public,2019,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,65.5,10.9,91.9,18.0,4.2
325,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Public,2015,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,67.4,11.9,96.6,16.7,5.4
326,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Public,2016,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,65.9,14.8,93.2,17.3,5.2
327,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Public,2017,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,66.7,11.3,97.2,15.3,5.9
328,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Public,2018,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,70.5,6.8,94.6,19.0,6.3
329,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Public,2019,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,66.3,12.3,89.4,21.1,3.3
330,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Independent,2015,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,74.1,4.4,100.0,0.5,7.7
331,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Independent,2016,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,73.4,2.9,97.8,3.7,7.8
332,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Independent,2017,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,71.2,3.7,99.4,1.0,7.7
333,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Independent,2018,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,69.6,2.9,99.3,2.8,6.4
334,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Independent,2019,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,69.6,2.5,100.0,0.7,6.8
335,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Independent,2015,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,71.9,7.0,99.1,6.0,6.7
336,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Independent,2016,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,70.5,7.7,97.8,2.3,6.4
337,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Independent,2017,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,62.4,14.3,99.0,4.2,4.9
338,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Independent,2018,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,71.0,6.7,100.0,12.6,6.3
339,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Independent,2019,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,70.7,7.7,100.0,4.9,6.4
340,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Independent,2015,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,74.3,3.5,99.1,0.0,7.9
341,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Independent,2016,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,74.4,2.7,99.2,0.0,8.0
342,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Independent,2017,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,77.3,3.3,100.0,0.0,8.7
343,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Independent,2018,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,81.6,0.0,100.0,0.0,9.7
344,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Independent,2019,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,77.2,0.9,100.0,1.4,8.7
345,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Independent,2015,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,68.3,13.7,96.5,5.8,5.8
346,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Independent,2016,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,69.5,8.6,96.0,3.9,6.1
347,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Independent,2017,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,59.7,18.5,94.5,2.3,3.8
348,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Independent,2018,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,65.1,11.5,100.0,0.0,5.2
349,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Independent,2019,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,68.9,13.7,96.2,2.5,5.3
350,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Independent,2015,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,,,,,
351,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Independent,2016,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,68.9,3.9,100.0,21.4,6.9
352,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Independent,2017,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,,,,,
353,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Independent,2018,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,66.1,7.3,100.0,4.4,5.7
354,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Independent,2019,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,67.2,10.0,98.1,11.5,4.4
355,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Independent,2015,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,86.2,0.3,98.6,2.2,9.6
356,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Independent,2016,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,87.4,0.0,100.0,1.5,9.9
357,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Independent,2017,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,82.5,0.0,100.0,2.0,10.0
358,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Independent,2018,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,85.1,0.0,100.0,1.9,9.3
359,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Independent,2019,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,85.4,0.0,100.0,0.0,10.0
360,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Public,2015,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,67.1,10.5,96.8,12.6,5.9
361,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Public,2016,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,67.6,10.4,96.3,8.0,6.5
362,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Public,2017,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,68.6,6.4,97.5,12.5,7.3
363,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Public,2018,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,65.9,10.1,96.2,13.5,5.9
364,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Public,2019,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,66.1,7.6,97.6,7.7,6.3
365,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,Public,2015,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,67.7,11.1,96.0,13.3,6.2
366,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,Public,2016,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,66.4,13.6,96.7,9.1,5.7
367,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,Public,2017,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,68.6,6.9,94.2,16.5,6.9
368,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,Public,2018,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,67.6,9.8,97.1,8.3,5.8
369,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,Public,2019,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,65.2,11.7,94.8,12.4,4.9
370,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Public,2015,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,65.0,12.0,95.7,12.2,5.3
371,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Public,2016,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,65.3,16.0,98.6,6.8,5.2
372,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Public,2017,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,66.3,6.5,97.1,8.6,7.0
373,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Public,2018,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,72.5,5.9,93.6,14.1,6.7
374,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Public,2019,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,66.5,7.6,100.0,1.1,6.7
375,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Public,2015,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,68.1,9.5,98.1,13.8,6.5
376,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Public,2016,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,68.3,9.9,97.1,7.2,6.7
377,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Public,2017,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,69.4,6.4,97.0,8.5,7.3
378,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Public,2018,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,66.0,12.7,97.3,6.4,4.9
379,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Public,2019,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,68.5,7.2,98.5,5.0,6.4
380,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,Public,2015,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,68.4,8.4,99.2,8.4,6.5
381,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,Public,2016,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,69.4,7.3,97.8,11.9,6.8
382,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,Public,2017,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,67.4,8.3,98.9,11.2,6.1
383,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,Public,2018,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,67.3,11.0,97.9,16.3,5.1
384,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,Public,2019,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,67.0,7.6,97.7,15.2,5.1
385,2019/2020,3737038,Sands Secondary,37,Delta,Public,10840 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15166039,-122.922406,Public,2015,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,66.7,9.7,96.9,8.2,6.1
