,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME_x,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_NAME_y,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
1199,2019/2020,3996011,York House School,39,Vancouver,Independent,4176 Alexandra St,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.24855211,-123.1403115,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1245,2019/2020,3996071,Vancouver Christian,39,Vancouver,Independent,3496 Mons Drive,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.25471,-123.02857,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1246,2019/2020,3996071,Vancouver Christian,39,Vancouver,Independent,3496 Mons Drive,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.25471,-123.02857,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1247,2019/2020,3996071,Vancouver Christian,39,Vancouver,Independent,3496 Mons Drive,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.25471,-123.02857,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1281,2019/2020,3996332,Fraser Academy,39,Vancouver,Independent,2294 10th Ave W,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.26278409,-123.1571374,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1282,2019/2020,3996332,Fraser Academy,39,Vancouver,Independent,2294 10th Ave W,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.26278409,-123.1571374,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1283,2019/2020,3996332,Fraser Academy,39,Vancouver,Independent,2294 10th Ave W,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.26278409,-123.1571374,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1293,2019/2020,3996435,St John's School,39,Vancouver,Independent,2215 10th Ave W,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.26308821,-123.1556879,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1294,2019/2020,3996435,St John's School,39,Vancouver,Independent,2215 10th Ave W,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.26308821,-123.1556879,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1295,2019/2020,3996435,St John's School,39,Vancouver,Independent,2215 10th Ave W,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.26308821,-123.1556879,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1317,2019/2020,3996509,Vancouver Formosa Academy,39,Vancouver,Independent,5621 Killarney St,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.23375,-123.04637,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1318,2019/2020,3996509,Vancouver Formosa Academy,39,Vancouver,Independent,5621 Killarney St,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.23375,-123.04637,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1319,2019/2020,3996509,Vancouver Formosa Academy,39,Vancouver,Independent,5621 Killarney St,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.23375,-123.04637,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1329,2019/2020,3996527,St John's Academy,39,Vancouver,Independent,395 West Broadway,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.26336734,-123.1125224,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1330,2019/2020,3996527,St John's Academy,39,Vancouver,Independent,395 West Broadway,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.26336734,-123.1125224,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1331,2019/2020,3996527,St John's Academy,39,Vancouver,Independent,395 West Broadway,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.26336734,-123.1125224,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1365,2019/2020,3996601,West Coast Christian School,39,Vancouver,Independent,15 Renfrew St N,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.28498,-123.04454,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1366,2019/2020,3996601,West Coast Christian School,39,Vancouver,Independent,15 Renfrew St N,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.28498,-123.04454,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1367,2019/2020,3996601,West Coast Christian School,39,Vancouver,Independent,15 Renfrew St N,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.28498,-123.04454,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1377,2019/2020,3996645,West Point Grey Academy,39,Vancouver,Independent,4125 West 8th Avenue,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.2665861,-123.2002978,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1378,2019/2020,3996645,West Point Grey Academy,39,Vancouver,Independent,4125 West 8th Avenue,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.2665861,-123.2002978,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1379,2019/2020,3996645,West Point Grey Academy,39,Vancouver,Independent,4125 West 8th Avenue,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.2665861,-123.2002978,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1413,2019/2020,3996724,The Westside School,39,Vancouver,Independent,788 Beatty St,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.27757,-123.11344,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1414,2019/2020,3996724,The Westside School,39,Vancouver,Independent,788 Beatty St,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.27757,-123.11344,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1415,2019/2020,3996724,The Westside School,39,Vancouver,Independent,788 Beatty St,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.27757,-123.11344,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1425,2019/2020,3996732,Shalhevet Girls High School,39,Vancouver,Independent,785 16th Ave W,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.23346984,-123.1275959,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
