,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME_x,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_NAME_y,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL,SCHOOL_NAME_y
325,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Kwantlen Park,Public,2015,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,67.4,11.9,96.6,16.7,5.4,Kwantlen Park
326,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Kwantlen Park,Public,2016,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,65.9,14.8,93.2,17.3,5.2,Kwantlen Park
327,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Kwantlen Park,Public,2017,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,66.7,11.3,97.2,15.3,5.9,Kwantlen Park
328,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Kwantlen Park,Public,2018,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,70.5,6.8,94.6,19.0,6.3,Kwantlen Park
329,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Kwantlen Park,Public,2019,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,66.3,12.3,89.4,21.1,3.3,Kwantlen Park
330,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Holy Cross,Independent,2015,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,74.1,4.4,100.0,0.5,7.7,Holy Cross
331,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Holy Cross,Independent,2016,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,73.4,2.9,97.8,3.7,7.8,Holy Cross
332,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Holy Cross,Independent,2017,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,71.2,3.7,99.4,1.0,7.7,Holy Cross
333,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Holy Cross,Independent,2018,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,69.6,2.9,99.3,2.8,6.4,Holy Cross
334,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Holy Cross,Independent,2019,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,69.6,2.5,100.0,0.7,6.8,Holy Cross
335,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Surrey Christian,Independent,2015,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,71.9,7.0,99.1,6.0,6.7,Surrey Christian
336,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Surrey Christian,Independent,2016,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,70.5,7.7,97.8,2.3,6.4,Surrey Christian
337,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Surrey Christian,Independent,2017,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,62.4,14.3,99.0,4.2,4.9,Surrey Christian
338,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Surrey Christian,Independent,2018,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,71.0,6.7,100.0,12.6,6.3,Surrey Christian
339,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Surrey Christian,Independent,2019,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,70.7,7.7,100.0,4.9,6.4,Surrey Christian
340,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Pacific Academy,Independent,2015,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,74.3,3.5,99.1,0.0,7.9,Pacific Academy
341,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Pacific Academy,Independent,2016,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,74.4,2.7,99.2,0.0,8.0,Pacific Academy
342,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Pacific Academy,Independent,2017,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,77.3,3.3,100.0,0.0,8.7,Pacific Academy
343,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Pacific Academy,Independent,2018,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,81.6,0.0,100.0,0.0,9.7,Pacific Academy
344,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Pacific Academy,Independent,2019,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,77.2,0.9,100.0,1.4,8.7,Pacific Academy
345,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Regent Christian,Independent,2015,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,68.3,13.7,96.5,5.8,5.8,Regent Christian
346,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Regent Christian,Independent,2016,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,69.5,8.6,96.0,3.9,6.1,Regent Christian
347,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Regent Christian,Independent,2017,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,59.7,18.5,94.5,2.3,3.8,Regent Christian
348,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Regent Christian,Independent,2018,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,65.1,11.5,100.0,0.0,5.2,Regent Christian
349,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Regent Christian,Independent,2019,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,68.9,13.7,96.2,2.5,5.3,Regent Christian
350,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Khalsa,Independent,2015,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,,,,,,Khalsa
351,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Khalsa,Independent,2016,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,68.9,3.9,100.0,21.4,6.9,Khalsa
352,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Khalsa,Independent,2017,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,,,,,,Khalsa
353,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Khalsa,Independent,2018,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,66.1,7.3,100.0,4.4,5.7,Khalsa
354,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Khalsa,Independent,2019,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,67.2,10.0,98.1,11.5,4.4,Khalsa
355,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Southridge,Independent,2015,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,86.2,0.3,98.6,2.2,9.6,Southridge
356,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Southridge,Independent,2016,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,87.4,0.0,100.0,1.5,9.9,Southridge
357,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Southridge,Independent,2017,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,82.5,0.0,100.0,2.0,10.0,Southridge
358,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Southridge,Independent,2018,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,85.1,0.0,100.0,1.9,9.3,Southridge
359,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Southridge,Independent,2019,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,85.4,0.0,100.0,0.0,10.0,Southridge
360,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Delta,Public,2015,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,67.1,10.5,96.8,12.6,5.9,Delta
361,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Delta,Public,2016,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,67.6,10.4,96.3,8.0,6.5,Delta
362,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Delta,Public,2017,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,68.6,6.4,97.5,12.5,7.3,Delta
363,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Delta,Public,2018,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,65.9,10.1,96.2,13.5,5.9,Delta
364,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Delta,Public,2019,Delta,Gr 12 enrolment: 245,1.1,21.3,0.3,66.1,7.6,97.6,7.7,6.3,Delta
365,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,North Delta,Public,2015,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,67.7,11.1,96.0,13.3,6.2,North Delta
366,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,North Delta,Public,2016,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,66.4,13.6,96.7,9.1,5.7,North Delta
367,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,North Delta,Public,2017,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,68.6,6.9,94.2,16.5,6.9,North Delta
368,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,North Delta,Public,2018,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,67.6,9.8,97.1,8.3,5.8,North Delta
369,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,North Delta,Public,2019,Delta,Gr 12 enrolment: 225,6.5,12.5,0.0,65.2,11.7,94.8,12.4,4.9,North Delta
370,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Delview,Public,2015,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,65.0,12.0,95.7,12.2,5.3,Delview
371,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Delview,Public,2016,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,65.3,16.0,98.6,6.8,5.2,Delview
372,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Delview,Public,2017,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,66.3,6.5,97.1,8.6,7.0,Delview
373,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Delview,Public,2018,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,72.5,5.9,93.6,14.1,6.7,Delview
374,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Delview,Public,2019,Delta,Gr 12 enrolment: 133,3.9,17.9,0.0,66.5,7.6,100.0,1.1,6.7,Delview
375,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Burnsview,Public,2015,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,68.1,9.5,98.1,13.8,6.5,Burnsview
376,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Burnsview,Public,2016,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,68.3,9.9,97.1,7.2,6.7,Burnsview
377,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Burnsview,Public,2017,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,69.4,6.4,97.0,8.5,7.3,Burnsview
378,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Burnsview,Public,2018,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,66.0,12.7,97.3,6.4,4.9,Burnsview
379,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Burnsview,Public,2019,Delta,Gr 12 enrolment: 143,5.9,10.1,41.7,68.5,7.2,98.5,5.0,6.4,Burnsview
380,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,South Delta,Public,2015,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,68.4,8.4,99.2,8.4,6.5,South Delta
381,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,South Delta,Public,2016,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,69.4,7.3,97.8,11.9,6.8,South Delta
382,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,South Delta,Public,2017,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,67.4,8.3,98.9,11.2,6.1,South Delta
383,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,South Delta,Public,2018,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,67.3,11.0,97.9,16.3,5.1,South Delta
384,2019/2020,3737037,South Delta Secondary,37,Delta,Public,750 53 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.01669018,-123.0758668,South Delta,Public,2019,Delta,Gr 12 enrolment: 307,1.1,15.4,24.6,67.0,7.6,97.7,15.2,5.1,South Delta
385,2019/2020,3737038,Sands Secondary,37,Delta,Public,10840 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15166039,-122.922406,Sands,Public,2015,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,66.7,9.7,96.9,8.2,6.1,Sands
386,2019/2020,3737038,Sands Secondary,37,Delta,Public,10840 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15166039,-122.922406,Sands,Public,2016,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,67.5,9.5,97.1,9.7,6.4,Sands
387,2019/2020,3737038,Sands Secondary,37,Delta,Public,10840 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15166039,-122.922406,Sands,Public,2017,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,63.5,14.8,97.7,4.8,5.5,Sands
388,2019/2020,3737038,Sands Secondary,37,Delta,Public,10840 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15166039,-122.922406,Sands,Public,2018,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,67.2,12.7,99.3,11.4,5.1,Sands
389,2019/2020,3737038,Sands Secondary,37,Delta,Public,10840 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15166039,-122.922406,Sands,Public,2019,Delta,Gr 12 enrolment: 141,2.2,16.9,0.0,67.6,5.0,95.6,4.8,6.0,Sands
390,2019/2020,3737040,Seaquam Secondary,37,Delta,Public,11584 Lyon Rd,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12680593,-122.9022507,Seaquam,Public,2015,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,70.6,8.1,97.5,10.9,6.6,Seaquam
391,2019/2020,3737040,Seaquam Secondary,37,Delta,Public,11584 Lyon Rd,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12680593,-122.9022507,Seaquam,Public,2016,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,70.4,7.5,97.7,10.4,6.8,Seaquam
392,2019/2020,3737040,Seaquam Secondary,37,Delta,Public,11584 Lyon Rd,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12680593,-122.9022507,Seaquam,Public,2017,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,73.5,3.4,98.7,3.5,8.4,Seaquam
393,2019/2020,3737040,Seaquam Secondary,37,Delta,Public,11584 Lyon Rd,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12680593,-122.9022507,Seaquam,Public,2018,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,73.5,2.9,99.0,3.9,7.3,Seaquam
394,2019/2020,3737040,Seaquam Secondary,37,Delta,Public,11584 Lyon Rd,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12680593,-122.9022507,Seaquam,Public,2019,Delta,Gr 12 enrolment: 311,1.4,11.2,0.1,69.9,7.9,98.0,7.2,6.3,Seaquam
395,2019/2020,3796694,Southpointe Academy,37,Delta,Independent,1900 56 St,Delta,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.03709554,-123.0680846,Southpointe,Independent,2015,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,79.0,0.4,100.0,1.7,8.8,Southpointe
396,2019/2020,3796694,Southpointe Academy,37,Delta,Independent,1900 56 St,Delta,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.03709554,-123.0680846,Southpointe,Independent,2016,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,82.1,0.0,100.0,1.8,9.7,Southpointe
397,2019/2020,3796694,Southpointe Academy,37,Delta,Independent,1900 56 St,Delta,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.03709554,-123.0680846,Southpointe,Independent,2017,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,71.3,6.1,97.8,0.7,7.1,Southpointe
398,2019/2020,3796694,Southpointe Academy,37,Delta,Independent,1900 56 St,Delta,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.03709554,-123.0680846,Southpointe,Independent,2018,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,75.0,3.2,100.0,0.0,7.5,Southpointe
399,2019/2020,3796694,Southpointe Academy,37,Delta,Independent,1900 56 St,Delta,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.03709554,-123.0680846,Southpointe,Independent,2019,Delta,Gr 12 enrolment: 38,0.0,2.3,0.0,78.0,0.0,100.0,0.0,9.1,Southpointe
400,2019/2020,3838024,R C Palmer Secondary,38,Richmond,Public,8160 St. Albans Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15408002,-123.1294812,R C Palmer,Public,2015,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,72.9,8.4,96.2,20.3,6.3,R C Palmer
401,2019/2020,3838024,R C Palmer Secondary,38,Richmond,Public,8160 St. Albans Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15408002,-123.1294812,R C Palmer,Public,2016,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,72.6,7.0,96.4,12.5,7.0,R C Palmer
402,2019/2020,3838024,R C Palmer Secondary,38,Richmond,Public,8160 St. Albans Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15408002,-123.1294812,R C Palmer,Public,2017,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,69.6,7.4,98.9,16.5,7.2,R C Palmer
403,2019/2020,3838024,R C Palmer Secondary,38,Richmond,Public,8160 St. Albans Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15408002,-123.1294812,R C Palmer,Public,2018,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,72.4,4.9,96.2,13.7,7.2,R C Palmer
404,2019/2020,3838024,R C Palmer Secondary,38,Richmond,Public,8160 St. Albans Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.15408002,-123.1294812,R C Palmer,Public,2019,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,74.6,1.0,94.3,17.1,7.5,R C Palmer
405,2019/2020,3838031,Hugh Boyd Secondary,38,Richmond,Public,9200 No. 1 Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1457787,-123.1785363,Hugh Boyd,Public,2015,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,69.0,10.9,93.3,21.4,5.5,Hugh Boyd
406,2019/2020,3838031,Hugh Boyd Secondary,38,Richmond,Public,9200 No. 1 Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1457787,-123.1785363,Hugh Boyd,Public,2016,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,69.1,10.1,91.5,22.9,5.7,Hugh Boyd
407,2019/2020,3838031,Hugh Boyd Secondary,38,Richmond,Public,9200 No. 1 Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1457787,-123.1785363,Hugh Boyd,Public,2017,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,65.1,16.8,91.4,24.0,4.7,Hugh Boyd
408,2019/2020,3838031,Hugh Boyd Secondary,38,Richmond,Public,9200 No. 1 Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1457787,-123.1785363,Hugh Boyd,Public,2018,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,67.7,6.7,91.2,23.9,4.7,Hugh Boyd
409,2019/2020,3838031,Hugh Boyd Secondary,38,Richmond,Public,9200 No. 1 Rd,Richmond,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1457787,-123.1785363,Hugh Boyd,Public,2019,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,67.2,12.7,94.3,16.5,4.1,Hugh Boyd
410,2019/2020,3838033,Hugh McRoberts Secondary,38,Richmond,Public,8980 Williams Rd,Richmond,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.1401466,-123.126686,Hugh McRoberts,Public,2015,Richmond,Gr 12 enrolment: 190,7.3,6.2,40.7,72.0,5.4,97.8,4.3,7.2,Hugh McRoberts
411,2019/2020,3838033,Hugh McRoberts Secondary,38,Richmond,Public,8980 Williams Rd,Richmond,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.1401466,-123.126686,Hugh McRoberts,Public,2016,Richmond,Gr 12 enrolment: 190,7.3,6.2,40.7,72.6,6.2,98.8,6.7,7.5,Hugh McRoberts
