SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2019/2020,604013,Martin Morigeau Elementary,006,Rocky Mountain,Public School,4891 Beatty Avenue PO BOX 69,Canal Flats                   ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.16106103,-115.8166756
2019/2020,604014,Eileen Madson Primary School,006,Rocky Mountain,Public School,2001 15th Ave,Invermere                     ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,50.49691115,-116.0407084
2019/2020,604015,David Thompson Secondary,006,Rocky Mountain,Public School,1535 14th St Unit 1 RR 4,Invermere                     ,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.5022144,-116.0411422
2019/2020,606000,Continuing Ed SD 06,006,Rocky Mountain,Public School,Box 430,Invermere                     ,Continuing Education                    ,SENIOR SECONDARY,NO,NO,NO,NO,49.67132997,-115.9794335
2019/2020,606017,McKim Middle School,006,Rocky Mountain,Public School,689 Rotary Dr,Kimberley                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.68034662,-115.9801445
2019/2020,618003,Lady Grey Elementary,006,Rocky Mountain,Public School,PO Box 899,Golden                        ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,51.2956813,-116.9721455
2019/2020,618005,Golden Secondary,006,Rocky Mountain,Public School,PO Box 1350,Golden                        ,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.2965518,-116.9496193
2019/2020,618007,Nicholson Elementary,006,Rocky Mountain,Public School,PO Box 331,Golden                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,51.24737311,-116.9089075
2019/2020,618008,Alexander Park Elementary,006,Rocky Mountain,Public School,PO Box 464,Golden                        ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,51.29548491,-116.9535451
2019/2020,696795,Kimberley Independent School,006,Rocky Mountain,Independent School,73 101 Ave,Kimberley                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.66553309,-115.9669948
2019/2020,699069,Golden Alternate School,006,Rocky Mountain,Public School,PO Box 1350,Golden                        ,Alternate Programs                      ,SECONDARY,NO,NO,NO,NO,51.2958808,-116.9661705
2019/2020,699086,Kimberley Alternate School,006,Rocky Mountain,Public School,405 Halpin St,Kimberley                     ,Alternate Programs                      ,SECONDARY,NO,NO,NO,NO,49.68268817,-115.9804626
2019/2020,699127,Open Doors Alternate Education,006,Rocky Mountain,Public School,PO Box 2613,Invermere                     ,Alternate Programs                      ,SECONDARY,NO,NO,NO,NO,50.5114683,-116.0307406
2019/2020,699157,Rocky Mountain Distributed Learning,006,Rocky Mountain,Public School,Box 430,Invermere                     ,Distributed Learning Programs           ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.67132997,-115.9794335
2019/2020,807004,Hume Elementary School,008,Kootenay Lake,Public School,310 Nelson Ave,Nelson                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.50037158,-117.2784926
2019/2020,807005,Trafalgar Middle School,008,Kootenay Lake,Public School,1201 Josephine St,Nelson                        ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,YES,YES,NO,49.48737269,-117.2868145
2019/2020,807011,Salmo Elementary School,008,Kootenay Lake,Public School,PO Drawer 220,Salmo                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.18966004,-117.2754995
2019/2020,807012,Salmo Secondary,008,Kootenay Lake,Public School,PO Box 310,Salmo                         ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.190584,-117.2813587
2019/2020,807013,L V Rogers Secondary,008,Kootenay Lake,Public School,1002 Cottonwood St,Nelson                        ,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.50153609,-117.2723473
2019/2020,807014,South Nelson Elementary,008,Kootenay Lake,Public School,814 Latimer St,Nelson                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.48948972,-117.2856372
2019/2020,807016,Blewett Elementary School,008,Kootenay Lake,Public School,2665 Blewett Rd,Nelson                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.4920102,-117.3686467
2019/2020,807018,Rosemont Elementary School,008,Kootenay Lake,Public School,1605 Crease Street,Nelson                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.48069488,-117.3024037
2019/2020,807025,Mount Sentinel Secondary,008,Kootenay Lake,Public School,PO Box 99,South Slocan                  ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.4463804,-117.5373076
2019/2020,807026,W.E. Graham Community School,008,Kootenay Lake,Public School,PO Box 10,Slocan                        ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.76347262,-117.470278
2019/2020,807033,Brent Kennedy Elementary,008,Kootenay Lake,Public School,PO Box 40,Crescent Valley               ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.44263986,-117.5453247
2019/2020,807034,Winlaw Elementary School,008,Kootenay Lake,Public School,PO Box 10,Winlaw                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.61341508,-117.5654459
2019/2020,807035,Redfish Elementary School,008,Kootenay Lake,Public School,265 Bryan Rd,Nelson                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.6134536,-117.0490073
2019/2020,886004,Adam Robertson Elementary,008,Kootenay Lake,Public School,PO Box 1549 421 9 Ave n,Creston                       ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.10020285,-116.5152956
2019/2020,886005,Jewett Elementary,008,Kootenay Lake,Public School,PO Box 39,Meadow Creek                  ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.24036719,-116.9762305
2019/2020,886006,Crawford Bay Elem-Secondary,008,Kootenay Lake,Public School,PO Box 100,Crawford Bay                  ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.68087767,-116.8290804
2019/2020,886007,Prince Charles Secondary,008,Kootenay Lake,Public School,223 18th Ave S,Creston                       ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.09443987,-116.5051821
2019/2020,886014,Canyon/Lister Elementary,008,Kootenay Lake,Public School,PO Box 959,Canyon                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.08179248,-116.4498963
2019/2020,886016,Homelinks - Creston,008,Kootenay Lake,Public School,PO Box 250,Creston                       ,Distributed Learning Programs           ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.08922483,-116.5129588
2019/2020,886018,J V Humphries Elem-Secondary,008,Kootenay Lake,Public School,PO Box 577,Kaslo                         ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.91218,-116.91124
2019/2020,886019,Erickson Elementary,008,Kootenay Lake,Public School,PO Box 180,Erickson                      ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.09096535,-116.4675454
2019/2020,896143,St Joseph School,008,Kootenay Lake,Independent School,523 Mill St,Nelson                        ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.48938195,-117.2907323
2019/2020,896220,Whole School,008,Kootenay Lake,Independent School,PO Box 240,Winlaw                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.60683957,-117.5673685
2019/2020,896449,Nelson Waldorf School,008,Kootenay Lake,Independent School,PO Box 165 STN Main,Nelson                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.46062192,-117.2855398
2019/2020,896710,Nelson Christian Community School,008,Kootenay Lake,Independent School,810 Tenth St,Nelson                        ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.5055444,-117.2683138
2019/2020,896726,Mormon Hills Elementary Secondary,008,Kootenay Lake,Independent School,876 Lyons Rd,Creston                       ,Standard School                         ,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,49.01447257,-116.4315961
