SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2019/2020,3636073,Cedar Hills Elementary,036,Surrey,Public School,12370 98 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.18000353,-122.8797416
2019/2020,3636077,Royal Heights Elementary,036,Surrey,Public School,11665 97 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.1793599,-122.8991614
2019/2020,3636079,L A Matheson Secondary,036,Surrey,Public School,9484 122 St,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.17536488,-122.8834549
2019/2020,3636080,Surrey Traditional,036,Surrey,Public School,13875 113 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.20818574,-122.8380479
2019/2020,3636081,Holly Elementary,036,Surrey,Public School,10719 150 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.19712687,-122.8073099
2019/2020,3636082,Georges Vanier Elementary,036,Surrey,Public School,6985 142 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.12965525,-122.8297984
2019/2020,3636084,Ellendale Elementary,036,Surrey,Public School,14525 110A Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.20360536,-122.8198606
2019/2020,3636087,Simon Cunningham Elementary,036,Surrey,Public School,9380 140 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,49.17310925,-122.8336519
2019/2020,3636089,Jessie Lee Elementary,036,Surrey,Public School,2064 154 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,YES,NO,49.03966266,-122.7946006
2019/2020,3636090,George Greenaway Elementary,036,Surrey,Public School,17285 61A Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.11425511,-122.7430891
2019/2020,3636105,Earl Marriott Secondary,036,Surrey,Public School,15751 16 Ave,Surrey                        ,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.03164575,-122.7854438
2019/2020,3636106,Frank Hurt Secondary,036,Surrey,Public School,13940 77 Ave,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.14230928,-122.8359391
2019/2020,3636107,Betty Huff Elementary,036,Surrey,Public School,13055 Huntley Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.17293347,-122.8605046
2019/2020,3636109,Strawberry Hill Elementary,036,Surrey,Public School,7633 124 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.1416582,-122.8795092
2019/2020,3636111,Cindrich Elementary,036,Surrey,Public School,13455 90 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.16711827,-122.8506362
2019/2020,3636112,Creekside Elementary,036,Surrey,Public School,13838 91 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.16757563,-122.8387905
2019/2020,3636114,Enver Creek Secondary,036,Surrey,Public School,14505 84 Ave,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1558268,-122.8202437
2019/2020,3636116,W E Kinvig Elementary,036,Surrey,Public School,13266 70B Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.13057771,-122.8544638
2019/2020,3636117,Laronde Elementary,036,Surrey,Public School,1880 Laronde Dr,Surrey                        ,Standard School                         ,ELEMENTARY,NO,YES,NO,NO,49.03567197,-122.8572154
2019/2020,3636118,South Meridian Elementary,036,Surrey,Public School,16244 13 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.02569301,-122.7719105
2019/2020,3636122,Don Christian Elementary,036,Surrey,Public School,6256 184 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.11643633,-122.7113974
2019/2020,3636128,Bonaccord Elementary,036,Surrey,Public School,14986 98 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.1798866,-122.8064525
2019/2020,3636129,M B Sanford Elementary,036,Surrey,Public School,7318 143 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.13580728,-122.8254577
2019/2020,3636130,Maple Green Elementary,036,Surrey,Public School,14898 Spenser Dr,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.15705877,-122.8100391
2019/2020,3636131,Hyland Elementary,036,Surrey,Public School,6677 140 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.12377692,-122.8360973
2019/2020,3636132,Kennedy Trail Elementary,036,Surrey,Public School,8305 122A St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.15397158,-122.8835928
2019/2020,3636134,Pacific Heights Elementary,036,Surrey,Public School,17148 26 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.04863062,-122.7484658
2019/2020,3636136,Berkshire Park Elementary,036,Surrey,Public School,15372 94 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.17291487,-122.7967992
2019/2020,3636137,Panorama Park Elementary,036,Surrey,Public School,12878 62 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.11490476,-122.8657351
2019/2020,3636138,North Ridge Elementary,036,Surrey,Public School,13460 62 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.11482717,-122.8490651
2019/2020,3636139,Cougar Creek Elementary,036,Surrey,Public School,12236 70A Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.13051395,-122.8832083
2019/2020,3636140,Martha Jane Norris Elementary,036,Surrey,Public School,12928 66A Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.12335209,-122.8649586
2019/2020,3636141,Fraser Heights Secondary,036,Surrey,Public School,16060 108 Ave,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.197924,-122.7769818
2019/2020,3636142,Fraser Wood Elementary,036,Surrey,Public School,10650 164 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.19621185,-122.7665417
2019/2020,3636143,Serpentine Heights Elementary,036,Surrey,Public School,16126 93A Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.17266054,-122.7754907
2019/2020,3636144,Boundary Park Elementary,036,Surrey,Public School,12332 North Boundary Dr,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.11683476,-122.8809358
2019/2020,3636145,Woodland Park Elementary,036,Surrey,Public School,9025 158 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.16719985,-122.785464
2019/2020,3636146,Brookside Elementary,036,Surrey,Public School,8555 142A St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.15821531,-122.8284814
2019/2020,3636147,Westerman Elementary,036,Surrey,Public School,7626 122 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.14170165,-122.8833878
2019/2020,3636148,Chantrell Creek Elementary,036,Surrey,Public School,2575 137 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.04850022,-122.8430389
2019/2020,3636149,Sunrise Ridge Elementary,036,Surrey,Public School,18690 60 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,YES,NO,49.11067615,-122.704321
2019/2020,3636150,Tamanawis Secondary,036,Surrey,Public School,12600 66 Ave,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12210518,-122.8715022
2019/2020,3636151,Cambridge Elementary,036,Surrey,Public School,6115 150 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.11372656,-122.8074454
2019/2020,3636152,Walnut Road Elementary,036,Surrey,Public School,16152 82 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.15122731,-122.7738662
2019/2020,3636153,Adams Road Elementary,036,Surrey,Public School,18228 68 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.1251442,-122.7173175
2019/2020,3636155,Coast Meridian Elementary,036,Surrey,Public School,8222 168A St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.15243455,-122.7543395
2019/2020,3636156,Elgin Park Secondary,036,Surrey,Public School,13484 24 Ave,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04485284,-122.8486418
2019/2020,3636157,Coyote Creek Elementary,036,Surrey,Public School,8131 156 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.15027252,-122.7909871
2019/2020,3636158,Beaver Creek Elementary,036,Surrey,Public School,6505 123A St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.12180212,-122.8812267
2019/2020,3636159,Dogwood Elementary,036,Surrey,Public School,10752 157 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.19799845,-122.7861551
2019/2020,3636160,Frost Road Elementary,036,Surrey,Public School,8606 162 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.15960458,-122.7719824
2019/2020,3636161,Semiahmoo Trail Elementary,036,Surrey,Public School,3040 145A St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.05801528,-122.8186836
2019/2020,3636162,Bayridge Elementary,036,Surrey,Public School,1730 142 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.03384911,-122.8280004
2019/2020,3636164,Sullivan Heights Secondary,036,Surrey,Public School,6248 144 St,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.11641756,-122.8217431
2019/2020,3636165,Chimney Hill Elementary,036,Surrey,Public School,14755 74 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.13816372,-122.8139963
2019/2020,3636167,Fleetwood Park Secondary,036,Surrey,Public School,7940 156 St,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.14779053,-122.7888756
2019/2020,3636170,Ocean Cliff Elementary,036,Surrey,Public School,12550 20 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.03800561,-122.8752513
2019/2020,3636172,William F. Davidson Elementary,036,Surrey,Public School,15550 99A Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.18263245,-122.7908587
2019/2020,3636173,Bothwell Elementary School,036,Surrey,Public School,17070 102 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.18741808,-122.748847
2019/2020,3636174,Kirkbride Elementary,036,Surrey,Public School,12150 92 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.16982877,-122.885826
2019/2020,3636175,Clayton Heights Secondary,036,Surrey,Public School,7003 188 St,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12907463,-122.7032007
2019/2020,3636176,Hillcrest Elementary,036,Surrey,Public School,18599 65 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.12122957,-122.7062685
2019/2020,3636177,Grandview Heights Secondary,036,Surrey,Public School,16987 25 Ave,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.047725,-122.7518069
2019/2020,3636178,A J McLellan Elementary,036,Surrey,Public School,16545 61 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.11417068,-122.7635486
2019/2020,3636180,Douglas Elementary,036,Surrey,Public School,17325 2 Ave,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.0056839,-122.7429954
2019/2020,3636183,Forsyth Road Elementary,036,Surrey,Public School,10730 139 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.19737108,-122.8361021
2019/2020,3636184,Maddaugh Road Elementary,036,Surrey,Public School,19405 76 Ave,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.141108,-122.6851484
2019/2020,3636186,Janice Churchill Elementary,036,Surrey,Public School,8226 146 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.15275686,-122.8161955
2019/2020,3636188,Morgan Elementary,036,Surrey,Public School,3366 156A St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.06292275,-122.7876151
2019/2020,3636189,Rosemary Heights Elementary,036,Surrey,Public School,15516 36 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.06663826,-122.7923891
2019/2020,3636201,Katzie Elementary,036,Surrey,Public School,6887 194A St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.128977,-122.6850419
2019/2020,3636203,Hazelgrove Elementary,036,Surrey,Public School,7057 - 191 Street,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.1305666,-122.6941645
2019/2020,3636206,Edgewood Elementary,036,Surrey,Public School,16666 23 Ave,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.0436059,-122.7613389
2019/2020,3636211,Goldstone Park Elementary,036,Surrey,Public School,6287 146 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.11678327,-122.8184976
2019/2020,3636212,Woodward Hill Elementary,036,Surrey,Public School,6082 142 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,49.11329725,-122.8278537
2019/2020,3636215,Ecole Salish Secondary,036,Surrey,Public School,7278 184 St,Surrey                        ,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.13528809,-122.7106291
2019/2020,3636232,Panorama Ridge Secondary,036,Surrey,Public School,13220 64 Ave,Surrey                        ,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.11814368,-122.8551692
2019/2020,3636242,SAIL Secondary,036,Surrey,Public School,14033 92 Ave,Surrey                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.17060124,-122.8339033
2019/2020,3636246,Princess Margaret Secondary,036,Surrey,Public School,12870 72 Ave,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.13179769,-122.8657613
2019/2020,3636248,Kwantlen Park Secondary,036,Surrey,Public School,10441 132 St,Surrey                        ,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438
2019/2020,3636574,City Central Learning Centre,036,Surrey,Public School,13104 109 Ave,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.2007333,-122.8589382
2019/2020,3636591,North Surrey Learning Centre,036,Surrey,Public School,9260 140 St,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.1712539,-122.8343549
2019/2020,3636592,South Surrey/White Rock Learning Centre,036,Surrey,Public School,13-2320 King George Hwy,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.0444883,-122.7916249
2019/2020,3636593,Cloverdale Learning Centre,036,Surrey,Public School,200-5658 176 St,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.1052427,-122.734661
2019/2020,3636594,Guildford learning Centre,036,Surrey,Public School,300-10183 152A St,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.1875595,-122.7998137
2019/2020,3695047,S Fraser Adolescent Day Treatment Prog.,036,Surrey,Public School,14033 92 Ave,Surrey                        ,Long Term PRP                           ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.17060124,-122.8339033
2019/2020,3695058,Adolescent Psychiatric Unit Prog,036,Surrey,Public School,14033 92 Ave,Surrey                        ,Short Term PRP                          ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.17060124,-122.8339033
2019/2020,3695059,Daughters and Sisters(PLEA)Program,036,Surrey,Public School,14033 92 Ave,Surrey                        ,Long Term PRP                           ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.17060124,-122.8339033
2019/2020,3695062,Waypoint Substance Abuse House,036,Surrey,Public School,14033 92 Ave,Surrey                        ,Short Term PRP                          ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.17060124,-122.8339033
2019/2020,3696048,Diamond School,036,Surrey,Independent School,18620 56 Ave,Surrey                        ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.10353428,-122.7062216
2019/2020,3696075,Our Lady of Good Counsel,036,Surrey,Independent School,10504 139 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.1935,-122.8353232
2019/2020,3696117,Cloverdale Catholic School,036,Surrey,Independent School,17511 59 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.1099616,-122.7374575
2019/2020,3696158,William of Orange Christian,036,Surrey,Independent School,PO Box 34090 RPO Cloversquare,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.11253648,-122.7388274
2019/2020,3696166,Holy Cross Regional High School,036,Surrey,Independent School,16193 88 Ave,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833
2019/2020,3696266,Surrey Christian,036,Surrey,Independent School,8930-162 St,Surrey                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238
2019/2020,3696309,White Rock Christian Academy,036,Surrey,Independent School,2265 152 St,Surrey                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.04343116,-122.8019544
2019/2020,3696321,Star of the Sea,036,Surrey,Independent School,15024 24 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.0447496,-122.8060342
2019/2020,3696394,Pacific Academy,036,Surrey,Independent School,10238 168 St,Surrey                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654
2019/2020,3696457,St Bernadette,036,Surrey,Independent School,13130 65B Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.12190067,-122.8577179
2019/2020,3696476,Regent Christian Academy,036,Surrey,Independent School,15100 66A Ave,Surrey                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244
2019/2020,3696585,Khalsa Secondary School (Surrey),036,Surrey,Independent School,10589 124 St,Surrey                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186
2019/2020,3696596,Cornerstone Montessori School,036,Surrey,Independent School,14724 84 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,49.15502356,-122.8143465
2019/2020,3696602,Bibleway Christian Academy,036,Surrey,Independent School,18657 60 Ave,Surrey                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.11184274,-122.7053832
2019/2020,3696610,Southridge School,036,Surrey,Independent School,2656 160 St,Surrey                        ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638
2019/2020,3696667,Iqra School,036,Surrey,Independent School,14590 116A Ave,Surrey                        ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,49.21408411,-122.8182438
2019/2020,3696675,Surrey Muslim School,036,Surrey,Independent School,119-7475 135 St,Surrey                        ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,49.13829,-122.84878
2019/2020,3696720,Traditional Learning Academy Online,036,Surrey,Independent School,5741 176 St,Surrey                        ,Distributed Learning Programs           ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12197068,-122.7327842
2019/2020,3696797,Sikh Academy,036,Surrey,Independent School,12895-85 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.15750456,-122.8643668
2019/2020,3696814,G.A.D. Elementary School,036,Surrey,Independent School,13479 77 Ave,Surrey                        ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.14310623,-122.8485158
2019/2020,3696830,iLearn Secondary School Society,036,Surrey,Independent School,618-7184 120 St,Surrey                        ,Distributed Learning Programs           ,SECONDARY,NO,NO,NO,NO,49.11584729,-122.8458236
2019/2020,3696863,Eaton Arrowsmith School White Rock,036,Surrey,Independent School,300-1538 Foster St,White Rock                    ,Standard School                         ,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,49.03051231,-122.8035568
2019/2020,3696866,St Matthew's Elementary,036,Surrey,Independent School,16065 88 Ave,Surrey                        ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,49.16319031,-122.7764668
2019/2020,3696900,Honour Secondary School,036,Surrey,Independent School,10453 whalley blvd,Surrey                        ,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.1924839,-122.8424624
2019/2020,3696912,Gobind Sarvar School,036,Surrey,Independent School,8820 168 St,Surrey                        ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.16336519,-122.7561818
2019/2020,3696923,Newbridge Academy,036,Surrey,Independent School,251-1959 152 St,Surrey                        ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,49.03694145,-122.8017132
2019/2020,3696941,St John Paul II Academy,036,Surrey,Independent School,15262 Pacific Ave,White Rock                    ,Standard School                         ,JUNIOR SECONDARY,YES,NO,NO,NO,49.02311159,-122.8000126
2019/2020,3696947,Khalsa School Old Yale Road,036,Surrey,Independent School,10677 124 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.19651333,-122.878975
2019/2020,3696948,Khalsa School Newton,036,Surrey,Independent School,6933 124 St,Surrey                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.12963111,-122.8804399
2019/2020,3696969,Glarea Elevated Learning,036,Surrey,Independent School,15000 54A Ave,Surrey                        ,Standard School                         ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.1015797,-122.8080244
2019/2020,3699008,Education Services,036,Surrey,Public School,14033 92 Ave,Surrey                        ,Alternate Programs                      ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.17060124,-122.8339033
2019/2020,3699142,Surrey Academy of Innovative Learning,036,Surrey,Public School,14033 92 Ave,Surrey                        ,Distributed Learning Programs           ,SECONDARY,YES,NO,NO,NO,49.1702677,-122.8323789
2019/2020,3699316,SD36 Alternate City Central LC,036,Surrey,Public School,13104 109 Avenue,Surry                         ,Alternate Programs                      ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.2007333,-122.8589382
2019/2020,3699317,SD36 Alternate Cloverdale LC,036,Surrey,Public School,5658 176 Street,Surrey                        ,Alternate Programs                      ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.1052186,-122.7347585
2019/2020,3699318,SD36 Alternate Guildford LC,036,Surrey,Public School,10183 152A St,Surrey                        ,Alternate Programs                      ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.1875031,-122.7997353
2019/2020,3699319,SD36 Alternate North Surrey LC,036,Surrey,Public School,9260 140 St,Surrey                        ,Alternate Programs                      ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.1712539,-122.8343549
2019/2020,3699320,SD36 Alternate S.Surrey/White Rock LC,036,Surrey,Public School,13-2320 King George Blvd,Surrey                        ,Alternate Programs                      ,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.0444883,-122.7916249
2019/2020,3737000,Delta Continuing Education,037,Delta,Public School,4750 57 St,Delta                         ,Continuing Education                    ,SECONDARY,NO,NO,NO,NO,49.15362003,-122.9021752
2019/2020,3737001,Ladner Elementary,037,Delta,Public School,5016 44 Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,49.08220395,-123.0848183
2019/2020,3737003,Delta Secondary,037,Delta,Public School,4615 51 St,Delta                         ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377
2019/2020,3737007,Richardson Elementary,037,Delta,Public School,11339 83 Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,49.15465407,-122.9086351
2019/2020,3737008,Heath Traditional Elementary,037,Delta,Public School,11364 72 Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.13343595,-122.908012
2019/2020,3737009,Annieville Elementary,037,Delta,Public School,9240 112 St,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.1706023,-122.9104705
2019/2020,3737012,North Delta Secondary,037,Delta,Public School,11447 82 Ave,Delta                         ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721
2019/2020,3737013,Sunshine Hills Elementary,037,Delta,Public School,11285 Bond Blvd,Delta                         ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,49.12388389,-122.910816
2019/2020,3737014,English Bluff Elementary,037,Delta,Public School,402 English Bluff Rd,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.01076811,-123.0887606
2019/2020,3737015,Cliff Drive Elementary,037,Delta,Public School,5025 12 Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,YES,NO,49.02547641,-123.0851253
2019/2020,3737017,Devon Gardens Elementary,037,Delta,Public School,8884 Russell Dr,Delta                         ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,49.16485,-122.9142423
2019/2020,3737018,South Park Elementary,037,Delta,Public School,735 Gilchrist Dr,Delta                         ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,49.01591093,-123.0714184
2019/2020,3737019,Beach Grove Elementary,037,Delta,Public School,5955 17a Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.03513271,-123.0584631
2019/2020,3737021,Delview Secondary,037,Delta,Public School,9111 116 St,Delta                         ,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101
2019/2020,3737022,Chalmers Elementary,037,Delta,Public School,11315 75 Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,YES,NO,49.1403198,-122.9093076
2019/2020,3737023,Hellings Elementary,037,Delta,Public School,11655 86 Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.160759,-122.8985274
2019/2020,3737024,Gray Elementary,037,Delta,Public School,10855 80 Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.14903454,-122.9205303
2019/2020,3737025,Hawthorne Elementary,037,Delta,Public School,5160 Central Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.09652205,-123.0720495
2019/2020,3737026,Gibson Elementary,037,Delta,Public School,11451 90 Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,YES,NO,NO,49.16753419,-122.9046426
2019/2020,3737027,Pebble Hill Traditional Elementary,037,Delta,Public School,246 52A St,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.00706461,-123.0776603
2019/2020,3737029,Brooke Elementary,037,Delta,Public School,8718 Delwood Dr,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.16259826,-122.9245899
2019/2020,3737030,Jarvis Traditional Elementary,037,Delta,Public School,7670 118 St,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.14309911,-122.8944134
2019/2020,3737032,McCloskey Elementary,037,Delta,Public School,11531 80 Ave,Delta                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.14950431,-122.9039653
